circle,map,line,area,bar,net,point,diagram,matrix,table,word,class,path
0.00041123047688127596,8.77123231624294e-05,0.0005200215393725,0.993974825,0.0024482170875437755,6.551959709792572e-06,0.002368917918543643,8.825660963089275e-05,4.1628111609882633e-05,1.9097225273967513e-06,5.075070785294613e-05,area,./static/data2vis_imdb/0.png
0.00033713158095125163,1.3125326661927126e-05,4.2872925235590006e-05,0.9988730725,0.0007206997240991618,6.5154241376647745e-09,2.7019285109118905e-06,2.5105331102744746e-06,2.3229139432306874e-06,4.81336828878955e-08,5.525875409932425e-06,area,./static/data2vis_imdb/1.png
0.0016633406871500002,0.000394238104575,0.0003114697586375,0.00112798878025,0.945189335,0.00023483213446,0.00048647470102399995,0.000351686163645,0.049866441075475006,0.0001126318139525,0.00026154303915,bar,./static/data2vis_imdb/2.png
0.018821607623054997,0.0033339915559418747,0.008237129559625437,0.0056765819646876796,0.12977338002919753,0.02176414017284425,0.73669961675,0.017175822176627126,0.010317982399352126,0.04264302685947748,0.0055567283837888995,point,./static/data2vis_imdb/3.png
0.00060689053997625,2.661495946471e-05,0.0001602857755115,0.00026842999725162496,0.9945760375,5.6611865425675e-05,5.674868121687025e-05,2.3683940630075e-05,0.004020336171141975,0.000109012367782,9.536456200717501e-05,bar,./static/data2vis_imdb/4.png
0.0006053297836764999,2.55448245265425e-05,0.00015670311082555,0.000262555735138625,0.9949225325,5.4941402756675004e-05,5.8714708970390994e-05,2.2481905543924998e-05,0.003695403647384875,0.000105690211773275,9.015989338155e-05,bar,./static/data2vis_imdb/5.png
0.000546339477786,2.30995357613e-05,0.0001423258561809,0.000233100987008575,0.995617835,4.7545900865349996e-05,5.351831648033875e-05,1.98379169376e-05,0.0031451385352878752,9.179079476497501e-05,7.94736958405e-05,bar,./static/data2vis_imdb/6.png
0.00060689053997625,2.661495946471e-05,0.0001602857755115,0.00026842999725162496,0.9945760375,5.6611865425675e-05,5.674868121687025e-05,2.3683940630075e-05,0.004020336171141975,0.000109012367782,9.536456200717501e-05,bar,./static/data2vis_imdb/7.png
0.003436946498625,0.000129280884479,0.000472900230189,0.00186959467855,0.9739852099999999,5.4472296466e-05,5.5642096842275003e-05,7.06280170675e-05,0.019165407896990002,0.0004353370347725,0.0003245087086325,bar,./static/data2vis_imdb/8.png
0.002657975715244,4.2880514368375e-05,0.000318915022463,0.022721109555824997,0.8941988300000001,5.97370003290025e-05,3.925353646950587e-05,8.697755433375001e-05,0.07896008186814026,0.00037907055069200004,0.0005352018721205,bar,./static/data2vis_imdb/9.png
0.00011229627458525,9.35798095215e-06,9.263060195175e-06,0.00022968385796249998,0.99334435,3.881884564284e-06,2.92331422638815e-06,6.9059250543525e-06,0.006239724241671575,2.06016953312e-05,2.0987684196475003e-05,bar,./static/data2vis_imdb/10.png
0.015097662622175,0.0002323138641975,0.0016342633472075,0.0069095148611750005,0.906180365,9.727998842525e-05,0.00016631835526050002,6.02413442035e-05,0.06826704923727249,0.0009145801918699999,0.00044039710561749997,bar,./static/data2vis_imdb/11.png
